POS;FW;RV;;
1;-35;275;1868;1009
7;444;319;1868;1015
13;340;186;1868;912
19;256;139;1868;840
25;285;132;1868;822
31;285;114;1868;815
37;285;139;1868;834
43;273;152;1868;829
49;281;182;1868;826
57;298;119;1868;798
65;374;98;1868;794
72;365;99;1868;800
79;381;107;1868;806
86;313;98;1868;806
93;386;86;1868;798
100;386;89;1868;808
107;484;113;1868;818
115;510;110;1868;818
121;536;99;1868;806
128;536;102;1868;803
134;759;113;1868;819
141;759;107;1868;818
148;759;107;1868;813
154;776;106;1868;809
162;815;106;1868;825
170;815;122;1868;847
178;675;115;1868;861
184;675;135;1868;864
192;514;139;1868;860
200;375;134;1868;877
206;375;146;1868;879
214;338;149;1868;876
220;338;147;1868;863
229;392;143;1868;866
235;392;157;1390;860
243;418;132;1366;853
252;418;124;1367;843
258;365;112;1365;828
267;365;129;1352;817
276;324;128;1337;812
282;324;129;1334;811
291;341;118;1338;812
300;341;124;1312;823
306;312;138;1293;814
315;312;121;1311;814
324;368;119;1327;812
330;350;123;1339;815
339;350;113;1355;814
349;385;129;1369;818
355;385;114;1369;820
364;404;118;1352;826
373;404;118;1349;822
379;361;122;1376;828
389;361;132;1394;829
398;332;130;1379;829
404;332;121;1382;825
413;367;143;1392;842
422;367;139;1384;845
428;316;140;1351;844
437;316;127;1385;852
446;395;192;1409;885
452;395;192;1467;921
461;365;205;1494;938
470;399;153;1295;911
477;399;161;1581;931
486;326;212;1557;946
495;326;149;1530;916
502;373;146;1488;874
512;373;152;1440;885
521;413;152;1382;901
528;413;135;1349;848
537;395;134;1305;833
547;395;137;1296;833
554;369;137;1323;832
563;369;126;1305;832
573;297;135;1293;833
580;297;132;1298;834
589;321;131;1297;836
599;325;135;1296;836
605;325;135;1304;836
615;340;139;1357;839
625;340;134;1359;839
631;349;140;1330;840
641;349;140;1335;844
651;404;154;1364;852
657;321;144;1365;854
667;321;144;1354;854
676;321;185;1374;884
683;321;180;1377;888
692;321;187;1359;878
702;322;187;1360;924
709;370;218;1386;953
718;370;192;1378;716
728;321;238;1330;973
734;321;238;1338;969
744;381;250;1401;970
753;381;205;1384;1187
760;290;205;1362;937
770;290;216;1397;1214
779;325;224;1396;971
786;325;199;1368;971
796;305;178;1321;1180
805;353;178;1343;916
812;353;185;1335;887
821;353;154;1318;874
831;323;190;1320;886
838;323;190;1308;882
847;251;170;1272;866
857;277;170;1284;847
864;277;166;1293;851
873;319;153;1329;847
883;319;135;1340;844
890;348;150;1365;854
899;348;150;1373;850
909;385;156;1363;853
915;382;146;1368;854
925;382;178;1389;861
935;365;178;1400;875
941;365;153;1389;863
951;365;182;1379;864
961;323;182;1380;880
967;387;191;1390;878
977;387;168;1387;889
987;410;191;1346;902
993;410;191;1343;940
1003;395;237;1323;938
1012;395;167;1274;914
1018;210;213;1223;947
1028;210;213;1205;951
1037;157;192;1195;943
1043;150;193;1174;908
1052;150;193;1157;923
1061;149;155;1153;934
1067;149;218;1152;964
1076;143;218;1151;924
1085;143;151;1148;892
1093;138;260;1147;888
1099;138;260;1145;882
1107;135;140;1140;889
1113;135;191;1140;915
1121;127;191;1135;894
1130;127;282;1131;879
1138;121;184;1125;879
1146;113;184;1123;868
1156;113;184;1124;867
1164;115;183;1119;858
1171;115;168;1115;851
1179;110;168;1113;877
1186;102;198;1114;906
1195;102;203;1110;907
1203;99;185;1109;1214
1209;99;185;1105;1214
1216;97;206;1102;1214
1222;90;206;1102;1214
1231;90;177;1102;1214
1237;85;211;1097;1214
1243;80;211;1094;1214
1249;80;216;1095;1214
1255;79;216;1094;1214
1263;76;206;1088;1214
1269;76;186;1083;1214
1277;70;186;1084;1214
1283;73;206;1086;1214
1291;65;243;1082;1214
1297;65;168;1077;1214
1304;59;168;1076;1214
1311;57;235;1073;1214
1318;57;282;1073;1214
1326;53;231;1073;1214
1332;55;231;1070;1214
1339;53;257;1073;1214
1345;56;257;1074;1214
1352;62;233;1072;1214
1358;58;263;1071;1214
1366;61;226;1070;1214
1372;58;182;1070;1214
1378;65;182;1070;1214
1385;63;168;1070;1214
1391;64;170;1070;1214
1397;61;161;1071;1214
1404;91;161;1098;1214
1410;97;151;1114;1214
1416;135;124;1129;1214
1423;136;132;1126;1214
1429;132;142;1124;1214
1435;137;81;1128;1214
1441;150;62;1138;1214
1448;161;151;1158;1214
1454;148;14;1160;1214
