POS;FW;RW;TO;TC
1;-35;286;1868;1009
7;453;285;1868;1015
13;367;214;1868;912
19;273;177;1868;840
25;319;145;1868;822
31;320;145;1868;815
37;333;148;1868;834
43;341;159;1868;829
49;323;158;1868;826
57;323;110;1868;798
65;379;130;1868;794
72;364;163;1868;800
79;412;139;1868;806
86;318;122;1868;806
93;318;95;1868;798
100;418;95;1868;808
107;478;98;1868;818
115;484;151;1868;818
121;484;142;1868;806
128;504;111;1868;803
134;598;99;1868;819
141;598;93;1868;818
148;598;103;1868;813
154;606;98;1868;809
162;606;104;1868;825
170;542;111;1868;847
178;522;95;1868;861
184;522;97;1868;864
192;437;97;1868;860
200;437;99;1868;877
206;400;101;1868;879
214;400;94;1868;876
220;380;105;1868;863
229;380;118;1868;866
235;350;111;1390;860
243;350;111;1366;853
252;369;106;1367;843
258;363;106;1365;828
267;363;102;1352;817
276;363;130;1337;812
282;352;161;1334;811
291;352;128;1338;812
300;325;176;1312;823
306;324;130;1293;814
315;324;144;1311;814
324;432;144;1327;812
330;432;129;1339;815
339;414;123;1355;814
349;414;121;1369;818
355;365;123;1369;820
364;365;138;1352;826
373;349;138;1349;822
379;334;120;1376;828
389;334;120;1394;829
398;365;122;1379;829
404;365;117;1382;825
413;365;127;1392;842
422;395;120;1384;845
428;403;120;1351;844
437;403;128;1385;852
446;407;128;1409;885
452;407;123;1467;921
461;386;131;1494;938
470;386;125;1295;911
477;444;125;1581;931
486;444;130;1557;946
495;387;130;1530;916
502;455;129;1488;874
512;455;150;1440;885
521;436;129;1382;901
528;436;129;1349;848
537;436;134;1305;833
547;418;134;1296;833
554;452;159;1323;832
563;452;145;1305;832
573;415;182;1293;833
580;415;182;1298;834
589;432;140;1297;836
599;432;139;1296;836
605;554;139;1304;836
615;554;144;1357;839
625;504;137;1359;839
631;412;137;1330;840
641;412;140;1335;844
651;471;168;1364;852
657;471;168;1365;854
667;438;154;1354;854
676;438;180;1374;884
683;506;144;1377;888
692;506;144;1359;878
702;480;202;1360;924
709;480;162;1386;953
718;534;181;1378;716
728;450;181;1330;973
734;450;164;1338;969
744;514;148;1401;970
753;514;145;1384;1187
760;471;145;1362;937
770;471;173;1397;1214
779;549;173;1396;971
786;549;169;1368;971
796;461;157;1321;1180
805;543;140;1343;916
812;543;173;1335;887
821;543;173;1318;874
831;549;183;1320;886
838;549;270;1308;882
847;509;174;1272;866
857;562;174;1284;847
864;562;180;1293;851
873;644;205;1329;847
883;644;205;1340;844
890;627;151;1365;854
899;627;157;1373;850
909;643;141;1363;853
915;530;141;1368;854
925;530;171;1389;861
935;660;159;1400;875
941;660;195;1389;863
951;535;195;1379;864
961;535;162;1380;880
967;673;169;1390;878
977;673;169;1387;889
987;626;178;1346;902
993;626;193;1343;940
1003;694;151;1323;938
1012;694;151;1274;914
1018;461;145;1223;947
1028;461;163;1205;951
1037;383;153;1195;943
1043;285;153;1174;908
1052;285;159;1157;923
1061;235;200;1153;934
1067;235;200;1152;964
1076;228;159;1151;924
1085;228;158;1148;892
1093;255;158;1147;888
1099;255;216;1145;882
1107;167;184;1140;889
1113;167;184;1140;915
1121;146;181;1135;894
1130;141;219;1131;879
1138;141;219;1125;879
1146;138;227;1123;868
1156;137;199;1124;867
1164;137;178;1119;858
1171;131;178;1115;851
1179;131;176;1113;877
1186;132;203;1114;906
1195;123;203;1110;907
1203;123;268;1109;890
1209;118;181;1105;1214
1216;118;181;1102;1214
1222;114;181;1102;1214
1231;109;167;1102;1214
1237;107;167;1097;1214
1243;107;198;1094;1214
1249;109;203;1095;1214
1255;115;203;1094;1214
1263;115;203;1088;1214
1269;165;210;1083;1214
1277;182;209;1084;1214
1283;201;185;1086;1214
1291;112;185;1082;1214
1297;99;196;1077;1214
1304;92;169;1076;1214
1311;89;169;1073;1214
1318;88;240;1073;1214
1326;87;262;1073;1214
1332;87;195;1070;1214
1339;93;277;1073;1214
1345;106;277;1074;1214
1352;106;204;1072;1214
1358;96;190;1071;1214
1366;110;190;1070;1214
1372;106;178;1070;1214
1378;114;190;1070;1214
1385;109;182;1070;1214
1391;125;163;1070;1214
1397;119;153;1071;1214
1404;140;139;1098;1214
1410;137;154;1114;1214
1416;131;142;1129;1214
1423;129;172;1126;1214
1429;149;106;1124;1214
1435;258;95;1128;1214
1441;258;104;1138;1214
1448;218;192;1158;1214
1454;188;14;1160;1214
