POS;FW;RV;;
1;-35;309;1868;1009
7;242;315;1868;1015
13;297;212;1868;912
19;245;140;1868;840
25;254;122;1868;822
31;247;115;1868;815
37;259;134;1868;834
43;265;129;1868;829
49;280;126;1868;826
57;298;98;1868;798
65;332;94;1868;794
72;332;100;1868;800
79;345;106;1868;806
86;310;106;1868;806
93;348;98;1868;798
100;413;108;1868;808
107;483;118;1868;818
115;540;118;1868;818
121;578;106;1868;806
128;635;103;1868;803
134;722;119;1868;819
141;770;118;1868;818
148;786;113;1868;813
154;799;109;1868;809
162;764;125;1868;825
170;763;147;1868;847
178;739;161;1868;861
184;628;164;1868;864
192;614;160;1868;860
200;499;177;1868;877
206;477;179;1868;879
214;465;176;1868;876
220;424;163;1868;863
229;404;166;1868;866
235;390;160;1390;860
243;366;153;1366;853
252;367;143;1367;843
258;365;128;1365;828
267;352;117;1352;817
276;337;112;1337;812
282;334;111;1334;811
291;338;112;1338;812
300;312;123;1312;823
306;293;114;1293;814
315;311;114;1311;814
324;327;112;1327;812
330;339;115;1339;815
339;355;114;1355;814
349;369;118;1369;818
355;369;120;1369;820
364;352;126;1352;826
373;349;122;1349;822
379;376;128;1376;828
389;394;129;1394;829
398;379;129;1379;829
404;382;125;1382;825
413;392;142;1392;842
422;384;145;1384;845
428;351;144;1351;844
437;385;152;1385;852
446;409;185;1409;885
452;467;221;1467;921
461;494;238;1494;938
470;551;211;1551;911
477;581;231;1581;931
486;557;246;1557;946
495;530;216;1530;916
502;488;174;1488;874
512;440;185;1440;885
521;382;201;1382;901
528;349;148;1349;848
537;305;133;1305;833
547;296;133;1296;833
554;323;132;1323;832
563;305;132;1305;832
573;293;133;1293;833
580;298;134;1298;834
589;297;136;1297;836
599;296;136;1296;836
605;304;136;1304;836
615;357;139;1357;839
625;359;139;1359;839
631;330;140;1330;840
641;335;144;1335;844
651;364;152;1364;852
657;365;154;1365;854
667;354;154;1354;854
676;374;184;1374;884
683;377;188;1377;888
692;359;178;1359;878
702;360;224;1360;924
709;386;253;1386;953
718;378;272;1378;972
728;330;273;1330;973
734;338;269;1338;969
744;401;270;1401;970
753;384;231;1384;931
760;362;237;1362;937
770;397;256;1397;956
779;396;271;1396;971
786;368;271;1368;971
796;321;224;1321;924
805;343;216;1343;916
812;335;187;1335;887
821;318;174;1318;874
831;320;186;1320;886
838;308;182;1308;882
847;272;166;1272;866
857;284;147;1284;847
864;293;151;1293;851
873;329;147;1329;847
883;340;144;1340;844
890;365;154;1365;854
899;373;150;1373;850
909;363;153;1363;853
915;368;154;1368;854
925;389;161;1389;861
935;400;175;1400;875
941;389;163;1389;863
951;379;164;1379;864
961;380;180;1380;880
967;390;178;1390;878
977;387;189;1387;889
987;346;202;1346;902
993;343;240;1343;940
1003;323;238;1323;938
1012;274;214;1274;914
1018;223;247;1223;947
1028;205;251;1205;951
1037;195;243;1195;943
1043;174;208;1174;908
1052;157;223;1157;923
1061;153;234;1153;934
1067;152;264;1152;964
1076;151;224;1151;924
1085;148;192;1148;892
1093;147;188;1147;888
1099;145;182;1145;882
1107;140;189;1140;889
1113;140;215;1140;915
1121;135;194;1135;894
1130;131;179;1131;879
1138;125;179;1125;879
1146;123;168;1123;868
1156;124;167;1124;867
1164;119;158;1119;858
1171;115;151;1115;851
1179;113;177;1113;877
1186;114;206;1114;906
1195;110;207;1110;907
1203;109;190;1109;890
1209;105;170;1105;1214
1216;102;176;1102;1214
1222;102;208;1102;1214
1231;102;186;1102;1214
1237;97;184;1097;1214
1243;94;206;1094;1214
1249;95;205;1095;1214
1255;94;208;1094;1214
1263;88;225;1088;1214
1269;83;222;1083;1214
1277;84;246;1084;1214
1283;86;212;1086;1214
1291;82;206;1082;1214
1297;77;215;1077;1214
1304;76;205;1076;1214
1311;73;260;1073;1214
1318;73;266;1073;1214
1326;73;280;1073;1214
1332;70;275;1070;1214
1339;73;282;1073;1214
1345;74;295;1074;1214
1352;72;240;1072;1214
1358;71;224;1071;1214
1366;70;206;1070;1214
1372;70;196;1070;1214
1378;70;194;1070;1214
1385;70;183;1070;1214
1391;70;186;1070;1214
1397;71;179;1071;1214
1404;98;164;1098;1214
1410;114;153;1114;1214
1416;129;129;1129;1214
1423;126;109;1126;1214
1429;124;95;1124;1214
1435;128;78;1128;1214
1441;138;57;1138;1214
1448;158;125;1158;1214
1454;160;62;1160;1214
